"","price","retail_price","units_sold","uses_ad_boosts","rating","rating_count","rating_five_count","rating_four_count","rating_three_count","rating_two_count","rating_one_count","badges_count","badge_local_product","badge_product_quality","badge_fast_shipping","tags","product_color","product_variation_inventory","shipping_is_express","countries_shipped_to","inventory_total","merchant_rating","product_variation_size_id","origin_country"
"372",16,14,100,0,4.1,10,6,1,2,0,1,0,0,0,0,"Blues,Summer,Shorts,high waist,pants,casualshort,Waist,Women's Fashion,skinnyshort,women shorts,Plus Size,Denim Shorts,Denim pants,Jeans,Women,Fashion,trousers,Women Fashion,stretch","blue",50,0,44,50,4.15503183955246,"S","CN"
"374",4,4,50,1,1,1,0,0,0,0,1,0,0,0,0,"Summer,Plus Size,Floral print,summerjumpsuit,Rompers,Women,Necks,Casual,Elegant,Women's Fashion,offshoulderjumpsuit,sleevelessjumpsuit,Print,sleeveless,printjumpsuit,women Jumpsuit,Causal,Floral,jumpsuit","blue",20,0,44,50,3.51574803149606,"XS","CN"
"375",6,6,100,1,3.13,8,3,1,1,0,3,0,0,0,0,"Summer,Fashion,Necks,Printed Tee,Funny,printed shirts,summer t-shirts,T Shirts,Casual,Round neck,Women's Fashion,women shirt,printed,loose t-shirt,Women,Tops,Cotton","pink",50,0,41,50,4.07988557503841,"S","CN"
"376",8,17,10,0,5,0,0,0,0,0,0,0,0,0,0,"90sfashion,Summer,Fashion,Princess,cute,Kawaii,Shirt,comfy,Leisure,short sleeves,Funny,Women's Fashion,women t shirt,Vintage,Cartoons,Women,Harajuku,Casual,T Shirts,Cotton","white",50,0,48,50,3.625,"S","CN"
"377",4,4,100,1,4.24,41,25,6,7,1,2,1,0,1,0,"blouse,Summer,Plus Size,Cotton,Shirt,Sleeve,Tops,slim,short sleeves,Women's Fashion,Shorts,printed,Ladies,o-neck,Fashion,Casual,T Shirts,Ladies Fashion","winered",50,0,50,50,3.85849983622666,"S","CN"
"380",11,11,1000,0,2.99,228,59,38,36,32,63,0,0,0,0,"Summer,Women Rompers,Plus Size,women long pants,linenjumpsuit,pants,Overalls,Loose,plussizejumpsuit,Women's Fashion,strappant,Long pants,Jumpsuits & Rompers,rompers womens jumpsuit,Vintage,Women,women Jumpsuit,Casual,jumpsuit","winered",50,0,17,50,4.03286474164134,"S","CN"
"384",9,8,1000,0,3.58,81,29,20,13,7,12,0,0,0,0,"blouse,Summer,Plus Size,one-shoulder,Tops,Loose,blousesampshirt,Women's Fashion,Fashion,Women Blouse,solid color,sleeveless,women top,Casual,Women","purple",50,0,43,50,3.85688432025481,"S","CN"
"385",5.72,9,100,0,2.5,4,1,0,0,2,1,0,0,0,0,"Women Pants,capripant,elastic waist,Waist,Elastic,pants,Summer,Fitness,jogging,Ladies Fashion,harem pants,Women's Fashion,trousers,34pant,printed,Ladies,Sport,Fashion,Casual,Women","grey",5,0,33,50,3.89949016751639,"XS","CN"
"386",2,10,100,0,3.2,10,3,1,3,1,2,0,0,0,0,"Summer,Fashion,Necks,Skirts,Dress,Loose,Women's Fashion,Round neck,beach dress,sleeveless,Beach,Casual,Women","white",1,0,41,50,3.99063829787234,"2XS","CN"
"387",9,9,1000,0,4.16,129,81,19,12,3,14,0,0,0,0,"Women Vest,Vest,Fashion,ruffle,cute,Tops,Plus size top,ruffle top,summer tops,Cotton Vest,Women's Fashion,Summer,sleeveless tops,Pretty,sleeveless,solidtop,Clothes,Spaghetti,tops for women,Women","purple",50,0,43,50,3.94015852846857,"S","CN"
"388",15,13,10,0,4,4,2,1,0,1,0,0,0,0,0,"Summer,Shorts,shortsleeveset,mensjoggersuit,summersuitset,summersportssuit,jogging suit,Outfits & Sets,Sport Suits,mentracksuit,men's suits,Sports Wear","white",50,0,42,50,4.02114803625378,"S","CN"
"389",20,17,50,0,4.17,12,7,2,2,0,1,0,0,0,0,"Summer,Shorts,Sleeve,pants,shortsleeveset,mensjoggersuit,sweat suit,Short pants,short sleeves,Outfits,Women's Fashion,Sport Suits,short sleeve shirt,Sport,men's suits,Casual","red",50,0,36,50,3.92307692307692,"S","CN"
"390",6,9,1000,1,3.67,304,126,66,44,23,45,0,0,0,0,"blouse,Summer,Fashion,Love,Shirt,letter print,Tops,T Shirts,tank top,Round neck,Women's Fashion,Women,topsampblouse,Print,sleeveless,women top,Casual,Necks","white",50,0,42,50,4.02424242424242,"S","CN"
"391",3,3,1000,1,3.08,109,26,25,17,14,27,0,0,0,0,"Mini,plus,Plus Size,short dress,Summer,solid,Dress,Lace Dress,Tassels,Casual,Women's Fashion,Shorts,summer dress,Fashion,sleeveless,sexy,Women,Beach,white,Lace","black",1,0,38,50,3.96459173387097,"2XS","CN"
"394",12,75,100,1,2.82,28,7,3,6,2,10,0,0,0,0,"Deep V-Neck,Swing dress,Plus Size,Floral print,Fashion,Halter,Summer,long dress,Dress,Women's Fashion,V-neck,Elegant,beach dress,Sleeveless dress,retro,sleeveless,Floral,halter dress,Beach,Casual,printed","whitefloral",1,0,38,50,3.03448275862069,"XS","US"
"395",11,13,100,1,3.8,5,2,2,0,0,1,0,0,0,0,"butterfly,Summer,Plus Size,Colorful,Fitness,Women's Fashion,stretchshort,mouth,sexy,yogasuit,jumpsuit,bodycon jumpsuits,Shorts,Yoga,sportset,jumpsuitromper,Sport,sleevelessjumpsuit,Suits,Print,sleeveless,fitness leggings,Fashion","blue",10,0,41,50,4.02043470963411,"XL","CN"
"396",9,22,100,1,3.3,10,2,2,4,1,1,0,0,0,0,"Summer,Vest,Fashion,crop top,Cherry,cute,Tank,Tops,girltanktop,tank top,cute crop tops,Women's Fashion,sleeveless tops,women tank top,sexy,Women,sleeveless,printed","white",50,0,43,50,3.95148767004162,"S","CN"
"397",7,6,1000,0,4.33,144,91,28,15,2,8,1,0,1,0,"Summer,Vest,Fashion,Women Vest,fashion vest,Tops,Women's Fashion,Bow,women's wear,sexy,sexyvest","white",50,0,34,50,4.32390768950105,"M","CN"
"398",5.92,9,100,1,3.71,17,7,3,4,1,2,0,0,0,0,"Summer,Plus Size,Shirt,letter print,Graphic Shirt,Vintage,short sleeves,vintageshirt,Cartoons,Round neck,Women's Fashion,Shorts,women t shirt,Tops & T-Shirts,Sleeve,nootnoot,Cotton,Fashion,Casual,Women","blue",18,0,43,50,4.21288679984332,"XS","CN"
"399",8,48,1000,0,4.34,794,500,152,86,26,30,1,0,1,0,"blouse,Summer,Plus Size,Floral print,chiffon,Women Vest,Tank,Tops,Women's Fashion,Fashion,printed,chiffon blouse,Floral,sleeveless,Spaghetti,Casual,Women","blue",50,0,9,50,4.33734939759036,"XS","CN"
"400",11,134,100,1,3.54,28,7,11,4,2,4,0,0,0,0,"Summer,Shift Dress,Sleeve,shirt dress,long dress,Beach,Dress,short sleeves,beach dress,Shorts,Midi Dress,Ladies,Women's Fashion,loose dress,kaftandre","black",50,0,46,50,4.07165109034268,"S","CN"
"404",1.68,2,1000,1,3.95,238,129,42,27,7,33,0,0,0,0,"Summer,Flip Flops,Sandals,Vintage,antislip,Slippers,Women's Fashion,open toe,Shoes,Plus Size,Beach,Casual,Women","red",1,0,23,50,4.04517020066618,"33","CN"
"405",24,59,1000,1,4.21,762,461,150,64,24,63,0,0,0,0,"Toy,Inflatable,paddle,the new,water,Equipment,Game,inflation,competitive,Suits,ittakestwo","beige",50,0,26,50,4.30827619980411,"S","CN"
"406",5.65,26,100,0,3.67,33,14,7,4,3,5,0,0,0,0,"Outdoor,doghat,Pets,Cap,sunhatfordog,Dogs,Cats,dogcap,Fashion,Baseball,Pet Supplies,Baseball Cap,Canvas,puppyhat,virsorcap,puppy,Hats,cathat,Dog Supplies","blue",50,0,32,50,4.29920739762219,"M","CN"
"407",13,11,100,0,4.35,26,18,4,1,1,2,1,0,1,0,"2pieceset,Shorts,crop top,Sleeve,Summer,tiktok,Spring,Tops,Spaghetti Strap,short sleeves,Fashion","pink & white",50,0,139,50,4.04761904761905,"XS","US"
"408",16,106,100,0,4.07,76,38,21,5,8,4,0,0,0,0,"crochet,gowns,Club Dress,Plus Size,short dress,Summer,robefemme,Dress,Lace Dress,Women's Fashion,Mini dress,floral lace,beach dress,coldshoulder,Sexy Dress,Floral,Women,Lace,lanternsleeve","white",50,0,40,50,4.2336827213684,"M","CN"
"409",5.83,5,100,0,4.36,22,13,5,3,1,0,0,0,0,0,"Summer,Vest,Plus Size,Floral print,camisole,Loose,Round neck,Print,Women's Fashion,Fashion,Floral,sleeveless,Casual,Necks","yellow",3,0,24,50,3.95283612844142,"XS","CN"
"414",1.8,2,1000,1,3.68,76,35,10,13,8,10,0,0,0,0,"Mini,Fashion,Summer,Pleated,Dress,V-neck,Mini dress,beach dress,Party Dress,tank top,party,Party Dresses,Casual,casual dress,Deep V-Neck,Plus Size,Cotton,Tank,Tops,summer dress,Women's Fashion,Cotton Dress,Sleeveless dress,Ladies,women dress,Clothes,Beach,loose dress,sleeveless","lightgreen",4,0,20,50,4.04137115839243,"XS","CN"
"415",7,6,100,1,3,22,5,3,7,1,6,0,0,0,0,"slimming,wasitcincher,Fashion,waistgirdle,slimmingcorset,Corset,Summer,Waist,waist trainer,Fashion Accessory,Vest,shaperwear,belt","black",50,0,41,50,3.93496732026144,"2XL","CN"
"416",1.75,6,50,1,3,2,0,1,0,1,0,0,0,0,0,"slimming,wasitcincher,Fashion,waistgirdle,slimmingcorset,Corset,Summer,Waist,waist trainer,Fashion Accessory,Vest,shaperwear,belt","black",1,0,35,50,4.06901509705248,"2XS","CN"
"417",9,108,1000,0,4.06,252,136,52,31,10,23,0,0,0,0,"Summer,Shorts,Elastic,pants,Denim,Loose,Women's Fashion,trousers,Denim Shorts,elasticband,Jeans,Fashion,Casual","black",50,0,42,50,3.84951129086619,"S","CN"
"418",12,11,1000,0,3.49,201,73,44,29,18,37,0,0,0,0,"Summer,Lines,Plus Size,Sleeve,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Ladies,Women's Fashion,Shorts,minishirtdres,Jeans,mididre,Women","blue",50,0,139,50,3.77663671373556,"M","CN"
"419",8,7,1000,0,3.84,132,56,34,20,9,13,0,0,0,0,"Summer,Tees & T-Shirts,Necks,Sleeve,cute,graphic tee,Tops,summer t-shirts,short sleeves,Round neck,T Shirts,Shorts,Fashion,Tops & T-Shirts,Women's Fashion,Casual,Women Fashion,printed","white",50,0,31,50,3.83795620437956,"S","CN"
"420",5,5,100,0,4.5,6,4,1,1,0,0,0,0,0,0,"suspenders,Summer,Fashion,Lace,button,slim,Women's Fashion,sexy lace,sexy,solid color,sleeveless,Women,blouse,Tops,Shirt","pink",50,0,45,50,3.86754716981132,"S","CN"
"421",11,10,1000,1,3.74,54,23,11,10,3,7,0,0,0,0,"Summer,Fashion,Necks,Beach,Dress,Loose,beach dress,Round neck,Women's Fashion,sleeveless,Skirts,Casual,Women","black",50,0,41,50,3.95444309481241,"XS","CN"
"423",7,6,100,0,4,6,3,1,1,1,0,0,0,0,0,"Summer,Plus Size,Floral print,Necks,Sleeve,Dress,Loose,short sleeves,V-neck,Floral,Women's Fashion,Shorts,summer dress,leafprinting,Print,leaf,Fashion,Casual","beige",7,0,24,50,4.03912764592688,"XS","CN"
"424",6,13,1000,0,3.51,79,26,17,18,7,11,0,0,0,0,"bohemia,Summer,Plus Size,Loose,tank top,Women's Fashion,Fashion,sleeveless tops,Summer Fashion,Casual,Cotton,blouse,beachtshirt,Tank,Shirt,Tops,boho,women shirt,sleeveless,Women,Beach,printed","pink",50,0,43,50,3.87073467343873,"S","CN"
"425",6,22,1000,1,4.19,201,108,50,27,6,10,0,0,0,0,"Pocket,Hiking,Outdoor,waterproofmat,Mats,camping,Waterproof,Blanket,nylonmat,Travel,outdoormat,Picnic,Nylon,Beach,picnicmat,beachblanket,beachmat","blue",3,0,55,50,4.41727246292527,"100 x 100cm(39.3 x 39.3inch)","CN"
"426",13,25,100,1,3.42,79,29,16,10,7,17,0,0,0,0,"Summer,sweetheart,Fashion,short dress,strappydres,goingout,Slim Fit,Floral dress,Shorts,Floral,Women's Fashion,Sheath Dress,A line dress,sweetheartdres,sexy,Above Knee dresses,Spaghetti,Dress,Women","rosered",50,0,41,50,3.95040340008644,"S","CN"
"427",7,50,1000,1,4.08,408,212,89,56,29,22,0,0,0,0,"Summer,Vest,Plus Size,camisole,Fitness,Shirt,Tops,topsamptshirt,Necks,tank top,Cotton Vest,Women's Fashion,Fashion,black,print t-shirt,sexy,Print,sleeveless,feather,Casual,summer tank top","black",50,0,41,50,3.96748413382434,"S","CN"
"428",13,11,1000,1,3.5,64,28,7,9,9,11,0,0,0,0,"bathing suit,Plus Size,Halter,Summer,Swimwear,Women's Fashion,Fashion,printed,Floral,sexy,Two piece set,Casual,Women,Shorts,Floral print,high waist,Sunflowers,Tops,Waist,beach wear,Swimsuit,Bikini,Suits,Print,Beach,Swimming","red",10,0,30,50,4.02446009753077,"S","CN"
"429",12,14,50,0,3.88,8,2,4,1,1,0,0,0,0,0,"Summer,Shorts,pants,Fitness,Short pants,runningpant,Men's Fashion,Casual,Red,Cotton","black",50,0,22,50,3.88461538461538,"S","CN"
"430",5.71,13,1000,1,4.23,317,194,59,29,13,22,1,0,1,0,"Summer,Shorts,pants,women Jumpsuit,Dress,Jumpsuits & Rompers,Bow,beach dress,plaid,suspended,loosejumpsuit,Women's Fashion,Beach,Rompers,jumpsuit","red",50,0,38,50,4.24265300620113,"S","CN"
"431",11,51,100,1,3,4,1,1,0,1,1,0,0,0,0,"Summer,Plus Size,Shirt,Sleeve,Funny,graphic tee,Tops,short sleeves,Tee,Women's Fashion,Shorts,cute,printed,Fashion,Casual,T Shirts,hippie","white",50,0,43,50,4.00127743583788,"S","CN"
"433",8,10,100,0,3.39,18,5,6,1,3,3,0,0,0,0,"Summer,Plus Size,sleeve dress,Necks,Sleeve,Dress,short sleeves,V-neck,Ladies,Women,Shorts,printed,Floral,women dress,Short Sleeved,casual dress,Women's Fashion,Casual,Cotton","navyblue",3,0,23,50,3.68275862068965,"XS","CN"
"435",6,22,1000,0,3.74,518,240,89,77,37,75,0,0,0,0,"sleeveless,Plus Size,Floral print,Summer,long dress,Evening Dress,Dress,Women's Fashion,V-neck,Floral,beach dress,Fashion,party,print dress,women dress,Print,maxi dress,Robes,Party Dresses,Beach,Women","yellow",50,0,38,50,4.01677297424994,"S","CN"
"436",6,6,50,0,4.2,15,9,2,3,0,1,0,0,0,0,"Summer,Sling,Dresses,Dress,V-neck,Casual,Pocket,Women's Fashion,Sleeveless dress,women dress,Floral,sleeveless,Women,loose dress,Pleated,casual dress","white & green",5,0,20,50,3.72222222222222,"XS","CN"
"437",13,11,100,0,3.75,4,1,1,2,0,0,0,0,0,0,"Summer,Leggings,Shorts,crop top,Shirt,Fitness,Tops,sport2set,Women's Fashion,Fashion,Pure Color,Suits,women clothes,sleeveless,Ladies,twopiecesset,Women Fashion,Women","winered",35,0,43,50,4.10061567474624,"XS","CN"
"438",8,25,1000,1,4.25,220,136,35,28,9,12,0,0,0,0,"Summer,Fitness,Shorts,Yoga,Lace,pants,Athletics,yoga pants,Short pants,athleticpant,lounge,Women's Fashion,Panties,Sport,women trousers,Women,athleticshort,Fashion,Cotton","pink",50,0,43,50,3.90029469548134,"M","CN"
"439",7,6,100,0,5,0,0,0,0,0,0,0,0,0,0,"Summer,strapless,Floral print,Tops & T-Shirts,sundress,ladies dress,Beach,Dress,Blouses & Shirts,boho,Women,Print,beach dress,transparentdres,Black Top,Sexy Dress,Floral,women dress,Ladies,Women's Fashion,Women Clothing","tan",50,0,140,50,5,"XS","AT"
"441",11,152,1000,0,3.91,808,381,180,110,68,69,0,0,0,0,"Summer,Shorts,Waist,Women jeans,Denim,Slim Fit,summer shorts,jean shorts,women shorts,Fashion,Denim Shorts,high waisted shorts,sexy,Jeans,Women's Fashion,Casual,high waist","blue",50,0,43,50,3.90835990731607,"XS","CN"
"443",1.65,2,1000,1,3.67,191,89,26,31,14,31,0,0,0,0,"Summer,Fashion,Necks,Beach,Dress,Loose,beach dress,Round neck,Women's Fashion,sleeveless,Skirts,Casual,Women","white",1,0,38,50,3.95879023700035,"2XS","CN"
"445",12,11,1000,1,3.76,899,390,198,130,65,116,0,0,0,0,"Summer,Plus size top,Dress,womens top,casual dresses,Women's Fashion,Plus Size,printed,sleeveless,Casual,Women Fashion,Women,vesttop,Floral print,Necks,Round neck,boho,Fashion,dailyclothe,neck dress,women summer dress","white",20,0,43,50,4.04673366834171,"S","CN"
"448",5,51,10,0,5,0,0,0,0,0,0,0,0,0,0,"Summer,Shorts,Shirt,Sleeve,sportsset,short sleeves,Two piece set,lipprint,Ladies,women shorts,Fashion,lip,women t shirt,Round neck,Casual,Print,tracksuitsforwomen,runningset,Necks","black",1,0,36,50,3.98983050847458,"XS","CN"
"449",11,50,100,1,3,9,2,1,3,1,2,0,0,0,0,"Summer,flamingo,Floral print,Mini,Shorts,Vintage,Dress,Loose,Mini dress,Print,Women's Fashion,Fashion,Sleeveless dress,Floral,sleeveless,Casual,Women","black",50,0,36,50,2.94117647058824,"S","CN"
"450",11,10,1000,0,4.29,410,247,89,40,15,19,0,0,0,0,"blouse,Fashion,Shirt,Bikini,long dress,beach coverup,bathing suit cover ups,summer dress,Cover,Swimwear,coverupsbikini,swim suit cover up,beach dress,Beach,Casual T-Shirt,Dress,women dress,Swimsuit,Women's Fashion,Cover Ups,Swimming","blue",50,0,21,50,3.84246970571264,"XS","CN"
"453",6,6,100,0,3.93,41,20,7,9,1,4,0,0,0,0,"beachcardigan,Lace,cardigan,summer dress,Cover,beach wear,Sunscreen,Bikini,boho,beach dress,Fashion,Women,Bikini Cover-Up,Women's Fashion,Cover Ups,kimono","black",50,0,38,50,4.04915734980066,"S","CN"
"454",7,14,100,0,4.24,50,29,12,4,2,3,0,0,0,0,"blouse,Summer,Plus Size,Tops & Blouses,Sexy Top,Tank,Tops,Cross,tank top,Women's Fashion,Fashion,strappy,solid color,sleeveless,women top,tops for women,Women","red",50,0,43,50,4.14396551724138,"L","CN"
"455",1.65,2,1000,1,3.67,191,89,26,31,14,31,0,0,0,0,"Summer,Fashion,Necks,Beach,Dress,Loose,beach dress,Round neck,Women's Fashion,sleeveless,Skirts,Casual,Women","white",1,0,38,50,3.95879023700035,"2XS","CN"
"457",11,85,1000,1,4.08,454,231,118,49,21,35,0,0,0,0,"summertrouser,summerwear,casualjumpsuit,trousers,pants,jumpsuitsampromper,Body Suit,Casual,Fashion,Summer,Ladies,women Jumpsuit,Rompers,jumpsuit","green",50,0,40,50,4.3340782122905,"S","CN"
"458",7,6,1000,0,4.12,442,220,111,72,23,16,0,0,0,0,"Summer,Vest,Fashion,Fitness,Tops,cheststrapvest,charmingdres,womenfashionclothing,Charming,Fashion Accessories,fitness top,sexy,Women's Fashion,Dress,Women","black",50,0,47,50,4.06135865595325,"S","CN"
"459",8,72,1000,0,4.01,153,85,22,24,7,15,0,0,0,0,"Summer,summer bikini,Triangles,bikini set,leopard print,bathing suit cover ups,Spaghetti Strap,Leopard,fashion bikini,Women's Fashion,Fashion,high waist bikini,Summer Fashion,Spaghetti,two piece bathing suit,high waist,Tops,Waist,Swimwear,Swimsuit,beach swimwear,Bikini,Suits,Print,Women,Swimming","white & black",50,0,41,50,3.91247582205029,"S","CN"
"461",9,46,100,0,4.86,7,6,1,0,0,0,0,0,0,0,"underarm,Summer,sweatguardpad,perspirationpad,disposable,dressshield,sweatpad,armpitsweatpad,underarmshield,armpitguard","no color",30,0,74,30,4.22800718132855,"100pcs","CN"
"463",11,10,100,1,3.08,39,11,8,3,7,10,0,0,0,0,"Summer,Plus Size,partydressesforwomen,Lace,robefemme,Dress,Lace Dress,casualdressesforwomen,Women's Fashion,white dress,sexydressesforwoman,beach dress,Fashion,backless,plus size dress,summerdressesforwomen,sundressesforwomen,Robes,Beach,white,Necks","pink",3,0,47,50,3.68932038834951,"XS","CN"
"464",6,10,1000,0,3,87,22,10,23,10,22,0,0,0,0,"Summer,short sleeve dress,neck dress,Necks,Sleeve,Beach,Dress,Loose,short sleeves,V-neck,Shorts,beach dress,Plus Size,Midi Dress,summer dress,Print,Pullovers,Women's Fashion,Casual,Women","yellow",3,0,20,50,3.67672413793103,"XS","CN"
"465",8,10,100,0,4.07,58,27,18,7,2,4,0,0,0,0,"Summer,Sling,Dresses,Dress,V-neck,Casual,Pocket,Women's Fashion,Sleeveless dress,women dress,Floral,sleeveless,Women,loose dress,Pleated,casual dress","white & green",3,0,23,50,4.04065040650407,"XS","CN"
"466",2,2,100,1,2.92,12,2,2,4,1,3,0,0,0,0,"summerwear,Summer,elastic waist,drawstringshort,Casual pants,Panties,Womens shorts,Shorts,largecottonandlinenwomenstrouser,Women's Fashion,Plus Size,Lace Up,midriff,Elastic,slimpant,Women,croppedtrouser,Lace","lightblue",1,0,25,50,3.97540983606557,"XL","CN"
"467",8,13,100,0,4.04,57,29,16,2,5,5,0,0,0,0,"Women Vest,Vest,Fashion,Summer,fashion vest,slim,tank top,Women's Fashion,Plus Size,sleeveless tops,Yoga,bcklessvest,fitnessvest,Women Fashion,Women,Tank,Tops,printedvest,Casual,casualvest,sleeveless,summervest,Fitness,printed","grey",50,0,51,50,4.23184233835252,"M","CN"
"468",22,159,1000,0,4.04,235,127,49,26,7,26,0,0,0,0,"shorttshirt,Fashion,Shirt,Angel,Summer,Tops,summer t-shirts,fearofgod,Hip Hop,T Shirts,Shorts,Oversize,kanyewest,sanskrit,streetwear,Women Fashion","black",50,0,80,50,4.09796672828096,"S","CN"
"469",11,10,1000,0,3.89,140,66,35,15,5,19,0,0,0,0,"Mini,School,summer skirt,collegegirlskirt,A-line,Summer,Pleated,Waist,Lines,schoolgirl,tennisskirt,Women Skirts,Women's Fashion,Shorts,fluffy,mini skirt,schoolskirt,Pleated Skirt,Women,short skirt,high waist","white",50,0,42,50,4.19358878639725,"XS","CN"
"470",6,6,1000,1,3.73,142,56,32,30,8,16,0,0,0,0,"suspenders,Summer,Plus Size,Tank,Shirt,Beach,Tops,Loose,Women's Fashion,Fashion,printed,Summer Fashion,sleeveless,Cotton,blouse,Casual,Women","yellow",50,0,50,50,3.85849983622666,"S","CN"
"472",9,50,100,1,3.84,37,16,10,3,5,3,0,0,0,0,"Summer,Leggings,Shorts,Yoga,skinny pants,Waist,Short pants,Running,yoga leggings,Women's Fashion,Plus Size,Women,Soft and comfortable,Fashion,high waist","grey",50,0,42,50,3.94840902069818,"S","CN"
"476",18,47,100,0,4.62,34,27,4,1,1,1,2,1,0,1,"trainingquickdryshort,Shorts,gymshortssportpant,pants,Fitness,Men's Fashion,mensummerrunningshort,Sport,Running,Summer,Men,fitnessshort,2in1sportsjogging","black",5,0,82,50,4.22662116040956,"2XL","CN"
"478",13,13,1000,0,3.7,332,149,56,57,20,50,0,0,0,0,"Summer,Women Rompers,Fashion,Sunflowers,women Jumpsuit,fashion dress,Dress,sunflowerprint,strap,Women's Fashion,Flowers,women dress,Print,fashion girl,Skirts,rompersforwomen,Women","black",10,0,52,50,4.06447628458498,"S","US"
"480",11,10,1000,0,4.09,100,59,16,10,5,10,0,0,0,0,"Summer,Vest,Plus size top,Cotton T Shirt,summer t-shirts,tank top,Ladies,Sleeveless Shirt,Fashion,casual shirt,sleeveless,blouse,Tank,Casual,Cotton,Deep V-Neck,Plus Size,Tops & Blouses,Shirt,Tops,Women's Fashion,Women,women shirt,V-neck,backless,womens tank tops,Ladies Fashion,button,sleeveless tops","purple",4,0,20,50,4.07809523809524,"2XS","CN"
"481",11,10,100,0,4.14,51,29,9,8,1,4,0,0,0,0,"Summer,Fashion,Lace,Princess,Dress,princessprom,punk,Women's Fashion,basicdressboho,punkdre,Prom,lacesummer,Casual,vestido,hippie,Mori Girl,donnahoney,Clothing,Lolita,Women","white",50,0,43,50,4.2636812992821,"S","CN"
"482",9,34,50,0,5,0,0,0,0,0,0,0,0,0,0,"Deep V-Neck,Summer,Vest,Slim Fit,crop top,Necks,Pure Color,slim,Women's Fashion,sexy,sleeveless,women top,simfit,Tops,Women","white",6,0,41,50,4.07420278004906,"S","CN"
"483",6,7,50,0,2.67,3,1,0,0,1,1,0,0,0,0,"Cotton,Women Vest,Vest,Women's Casual Tops,loose top,Tops & Tees,printed shirts,Tops,Sleeveless Shirt,Women's Fashion,Summer,sleeveless tops,sleeveless,Tank,womens tank tops,summer tops,printed","pink",46,0,8,50,4.0589519650655,"S","CN"
"486",15,28,100,1,3.23,69,25,9,8,11,16,0,0,0,0,"sexypleated,sweetheart,Shorts,short dress,Summer,plus size dress,Dress,summer dress,Floral dress,Women's Fashion,Sheath Dress,women's dress,sexydressforwomen,Floral,sexy,Women,Spaghetti,spaghettistrapdres","blue",50,0,51,50,3.85061315496098,"S","CN"
"488",12,14,10,0,5,0,0,0,0,0,0,0,0,0,0,"Summer,Plus Size,Casual pants,pants,Men,Short pants,caterpillar,Cats,Men's Fashion,Shorts,Sport,Cotton","black",50,0,22,50,3.88461538461538,"S","CN"
"489",5.81,30,100,0,2.61,18,3,2,5,1,7,0,0,0,0,"Summer,Shorts,Slim Fit,slim,twopiecesoutfit,V-neck,Women's Fashion,Fashion,tank top,Women,sexy,Sport,Casual,Women Fashion,Cotton","green",3,0,41,50,3.8947606995807,"XS","CN"
"490",16,22,100,1,3.15,72,20,17,9,6,20,0,0,0,0,"Summer,Shorts,Sleeve,short sleeved tshirt,Men,Fashion Suits,Men's Fashion,short sleeves,T Shirts,Fashion,casual wear,Short Sleeved,Sport,Casual,summermensclothing","grey",39,0,34,50,3.41772151898734,"M","CN"
"491",7,6,100,0,3.8,61,28,11,12,2,8,0,0,0,0,"Summer,Plus Size,Love,Graphic T-Shirt,Funny,summer t-shirts,short sleeves,T Shirts,Funny T Shirt,Women's Fashion,Fashion,Women","black",50,0,45,50,4.21638599783678,"S","CN"
"492",8,42,1000,0,3.95,449,230,87,60,25,47,0,0,0,0,"Summer,Fashion,Tube top,summer shirt,Tops,cool shirts,tank top,slim shirts,Sleeveless Shirt,teesamptshirt,solid color,Off shoulder shirt,tops for women","black",50,0,40,50,4.02536420666514,"M","CN"
"494",11,76,1000,1,4.1,364,212,61,38,20,33,1,1,0,0,"Sleeveless dress,ruffle,sundress,long dress,Dress,Women's Fashion,Summer,printed,Floral,tunic,Casual,Vintage dress,Women,Floral print,sexy dresses,Vintage,summer dress,boho,Women S Clothing,boho dress,sleeveless,casual dress","floral",50,0,40,50,4.14914078511745,"S","CN"
"495",11,14,1000,0,3.93,651,333,114,97,39,68,0,0,0,0,"Women,Shorts,Floral print,two piece bathing suit,Print,Waist,high waisted,Women's Fashion,Swimsuit,push up swimwear,high waist,Bikini,Fashion,Sport,high waisted shorts,Floral,crop top,Suits,Sports Wear,Swimming","leopard",19,0,83,50,4.27949240169199,"S","CN"
"497",12,11,100,1,3.28,40,10,11,8,2,9,0,0,0,0,"wavepointdre,Fashion,long dress,Beach,Dress,summer dress,beach dress,boho,Party Dress,boho dress,printed,Women's Fashion","black",50,0,38,50,3.96459173387097,"4XL","CN"
"498",7,6,100,0,3.6,25,10,4,5,3,3,0,0,0,0,"Summer,Vest,Swimming,Halter,wrappedchest,letter print,bras for women,Tops,slingvest,Swimwear,Push up bikini,Print,Women's Fashion,Halter Bikini,sexy,Women,Beach,summer tops,Bras,Bottoming shirt","black",50,0,127,50,4.15527950310559,"S","CN"
"504",6,47,1000,0,4.28,134,84,19,22,2,7,0,0,0,0,"Summer,Shorts,Skeleton,Casual pants,athleticshort,summer shorts,Women's Fashion,Hot pants,High Waist Pants,womenshortspant,black,printed,punk style,skeletonprinted,Women,slim,Casual,Slim Fit","multicolor",50,0,43,50,3.86231380720846,"S","CN"
